DateStatusUpdated,EnteredBy,fk_LocationID,fk_sampleID,Institution,pk_StatusLocationID,ref_containID,ref_containNum,ref_containType,ref_SampleID,SampleLocationDate
2012-10-01,,3,410,Uvic,160,Scintillation 3 Uvic,3,Scintillation,,410 3 2012-10-01
2012-10-01,,3,411,Uvic,161,Scintillation 3 Uvic,3,Scintillation,,411 3 2012-10-01
2012-10-01,,3,412,Uvic,162,Scintillation 3 Uvic,3,Scintillation,,412 3 2012-10-01
2012-10-01,,3,413,Uvic,163,Scintillation 3 Uvic,3,Scintillation,,413 3 2012-10-01
2012-10-01,,3,414,Uvic,164,Scintillation 3 Uvic,3,Scintillation,,414 3 2012-10-01
2012-10-01,,3,415,Uvic,165,Scintillation 3 Uvic,3,Scintillation,,415 3 2012-10-01
2012-10-01,,3,416,Uvic,166,Scintillation 3 Uvic,3,Scintillation,,416 3 2012-10-01
2012-10-01,,3,417,Uvic,167,Scintillation 3 Uvic,3,Scintillation,,417 3 2012-10-01
2012-10-01,,3,418,Uvic,168,Scintillation 3 Uvic,3,Scintillation,,418 3 2012-10-01
2012-10-01,,3,419,Uvic,169,Scintillation 3 Uvic,3,Scintillation,,419 3 2012-10-01
2012-10-01,,3,420,Uvic,170,Scintillation 3 Uvic,3,Scintillation,,420 3 2012-10-01
2012-10-01,,6,360,Uvic,171,Scintillation 6 Uvic,6,Scintillation,,360 6 2012-10-01
2012-10-01,,6,165,Uvic,172,Scintillation 6 Uvic,6,Scintillation,,165 6 2012-10-01
2012-10-01,,6,166,Uvic,173,Scintillation 6 Uvic,6,Scintillation,,166 6 2012-10-01
2012-10-01,,6,167,Uvic,174,Scintillation 6 Uvic,6,Scintillation,,167 6 2012-10-01
2012-10-01,,6,168,Uvic,175,Scintillation 6 Uvic,6,Scintillation,,168 6 2012-10-01
2012-10-01,,6,169,Uvic,176,Scintillation 6 Uvic,6,Scintillation,,169 6 2012-10-01
2012-10-01,,6,170,Uvic,177,Scintillation 6 Uvic,6,Scintillation,,170 6 2012-10-01
2012-10-01,,6,171,Uvic,178,Scintillation 6 Uvic,6,Scintillation,,171 6 2012-10-01
2012-10-01,,6,172,Uvic,179,Scintillation 6 Uvic,6,Scintillation,,172 6 2012-10-01
2012-10-01,,6,173,Uvic,180,Scintillation 6 Uvic,6,Scintillation,,173 6 2012-10-01
2012-10-01,,6,174,Uvic,181,Scintillation 6 Uvic,6,Scintillation,,174 6 2012-10-01
2012-10-01,,6,175,Uvic,182,Scintillation 6 Uvic,6,Scintillation,,175 6 2012-10-01
2012-10-01,,6,176,Uvic,183,Scintillation 6 Uvic,6,Scintillation,,176 6 2012-10-01
2012-10-01,,6,177,Uvic,184,Scintillation 6 Uvic,6,Scintillation,,177 6 2012-10-01
2012-10-01,,6,178,Uvic,185,Scintillation 6 Uvic,6,Scintillation,,178 6 2012-10-01
2012-10-01,,6,426,Uvic,186,Scintillation 6 Uvic,6,Scintillation,,426 6 2012-10-01
2012-10-01,,6,427,Uvic,187,Scintillation 6 Uvic,6,Scintillation,,427 6 2012-10-01
2012-10-01,,6,428,Uvic,188,Scintillation 6 Uvic,6,Scintillation,,428 6 2012-10-01
2012-10-01,,6,429,Uvic,189,Scintillation 6 Uvic,6,Scintillation,,429 6 2012-10-01
2012-10-01,,6,430,Uvic,190,Scintillation 6 Uvic,6,Scintillation,,430 6 2012-10-01
2012-10-01,,6,223,Uvic,191,Scintillation 6 Uvic,6,Scintillation,,223 6 2012-10-01
2012-10-01,,6,224,Uvic,192,Scintillation 6 Uvic,6,Scintillation,,224 6 2012-10-01
2012-10-01,,2,463,Uvic,193,Scintillation 2 Uvic,2,Scintillation,,463 2 2012-10-01
2012-10-01,,2,464,Uvic,194,Scintillation 2 Uvic,2,Scintillation,,464 2 2012-10-01
2012-10-01,,2,467,Uvic,195,Scintillation 2 Uvic,2,Scintillation,,467 2 2012-10-01
2012-10-01,,2,469,Uvic,196,Scintillation 2 Uvic,2,Scintillation,,469 2 2012-10-01
2012-10-01,,2,472,Uvic,197,Scintillation 2 Uvic,2,Scintillation,,472 2 2012-10-01
2012-10-01,,2,473,Uvic,198,Scintillation 2 Uvic,2,Scintillation,,473 2 2012-10-01
2012-10-01,,2,477,Uvic,199,Scintillation 2 Uvic,2,Scintillation,,477 2 2012-10-01
2012-10-01,,2,478,Uvic,200,Scintillation 2 Uvic,2,Scintillation,,478 2 2012-10-01
2012-10-01,,2,483,Uvic,201,Scintillation 2 Uvic,2,Scintillation,,483 2 2012-10-01
2012-10-01,,2,484,Uvic,202,Scintillation 2 Uvic,2,Scintillation,,484 2 2012-10-01
2012-10-01,,2,485,Uvic,203,Scintillation 2 Uvic,2,Scintillation,,485 2 2012-10-01
2012-10-01,,2,511,Uvic,204,Scintillation 2 Uvic,2,Scintillation,,511 2 2012-10-01
2012-10-01,,2,514,Uvic,205,Scintillation 2 Uvic,2,Scintillation,,514 2 2012-10-01
2012-10-01,,2,515,Uvic,206,Scintillation 2 Uvic,2,Scintillation,,515 2 2012-10-01
2012-10-01,,2,517,Uvic,207,Scintillation 2 Uvic,2,Scintillation,,517 2 2012-10-01
2012-10-01,,2,518,Uvic,208,Scintillation 2 Uvic,2,Scintillation,,518 2 2012-10-01
2012-10-01,,2,519,Uvic,209,Scintillation 2 Uvic,2,Scintillation,,519 2 2012-10-01
2012-10-01,,2,520,Uvic,210,Scintillation 2 Uvic,2,Scintillation,,520 2 2012-10-01
2012-10-01,,2,521,Uvic,211,Scintillation 2 Uvic,2,Scintillation,,521 2 2012-10-01
2012-10-01,,2,522,Uvic,212,Scintillation 2 Uvic,2,Scintillation,,522 2 2012-10-01
2012-10-01,,2,524,Uvic,213,Scintillation 2 Uvic,2,Scintillation,,524 2 2012-10-01
2012-10-01,,2,525,Uvic,214,Scintillation 2 Uvic,2,Scintillation,,525 2 2012-10-01
2012-10-01,,2,526,Uvic,215,Scintillation 2 Uvic,2,Scintillation,,526 2 2012-10-01
2012-10-01,,2,530,Uvic,216,Scintillation 2 Uvic,2,Scintillation,,530 2 2012-10-01
2012-10-01,,2,531,Uvic,217,Scintillation 2 Uvic,2,Scintillation,,531 2 2012-10-01
2012-10-01,,2,532,Uvic,218,Scintillation 2 Uvic,2,Scintillation,,532 2 2012-10-01
2012-10-01,,2,534,Uvic,219,Scintillation 2 Uvic,2,Scintillation,,534 2 2012-10-01
2012-10-01,,4,193,Uvic,220,Scintillation 4 Uvic,4,Scintillation,,193 4 2012-10-01
2012-10-01,,4,194,Uvic,221,Scintillation 4 Uvic,4,Scintillation,,194 4 2012-10-01
2012-10-01,,4,195,Uvic,222,Scintillation 4 Uvic,4,Scintillation,,195 4 2012-10-01
2012-10-01,,4,196,Uvic,223,Scintillation 4 Uvic,4,Scintillation,,196 4 2012-10-01
2012-10-01,,4,197,Uvic,224,Scintillation 4 Uvic,4,Scintillation,,197 4 2012-10-01
2012-10-01,,4,198,Uvic,225,Scintillation 4 Uvic,4,Scintillation,,198 4 2012-10-01
2012-10-01,,4,199,Uvic,226,Scintillation 4 Uvic,4,Scintillation,,199 4 2012-10-01
2012-10-01,,4,200,Uvic,227,Scintillation 4 Uvic,4,Scintillation,,200 4 2012-10-01
2012-10-01,,4,201,Uvic,228,Scintillation 4 Uvic,4,Scintillation,,201 4 2012-10-01
2012-10-01,,4,202,Uvic,229,Scintillation 4 Uvic,4,Scintillation,,202 4 2012-10-01
2012-10-01,,4,203,Uvic,230,Scintillation 4 Uvic,4,Scintillation,,203 4 2012-10-01
2012-10-01,,4,204,Uvic,231,Scintillation 4 Uvic,4,Scintillation,,204 4 2012-10-01
2012-10-01,,4,205,Uvic,232,Scintillation 4 Uvic,4,Scintillation,,205 4 2012-10-01
2012-10-01,,4,206,Uvic,233,Scintillation 4 Uvic,4,Scintillation,,206 4 2012-10-01
2012-10-01,,4,207,Uvic,234,Scintillation 4 Uvic,4,Scintillation,,207 4 2012-10-01
2012-10-01,,4,380,Uvic,235,Scintillation 4 Uvic,4,Scintillation,,380 4 2012-10-01
2012-10-01,,4,381,Uvic,236,Scintillation 4 Uvic,4,Scintillation,,381 4 2012-10-01
2012-10-01,,4,382,Uvic,237,Scintillation 4 Uvic,4,Scintillation,,382 4 2012-10-01
2012-10-01,,4,383,Uvic,238,Scintillation 4 Uvic,4,Scintillation,,383 4 2012-10-01
2012-10-01,,4,384,Uvic,239,Scintillation 4 Uvic,4,Scintillation,,384 4 2012-10-01
2012-10-01,,4,385,Uvic,240,Scintillation 4 Uvic,4,Scintillation,,385 4 2012-10-01
2012-10-01,,4,386,Uvic,241,Scintillation 4 Uvic,4,Scintillation,,386 4 2012-10-01
2012-10-01,,4,387,Uvic,242,Scintillation 4 Uvic,4,Scintillation,,387 4 2012-10-01
2012-10-01,,4,208,Uvic,243,Scintillation 4 Uvic,4,Scintillation,,208 4 2012-10-01
2012-10-01,,4,209,Uvic,244,Scintillation 4 Uvic,4,Scintillation,,209 4 2012-10-01
2012-10-01,,4,210,Uvic,245,Scintillation 4 Uvic,4,Scintillation,,210 4 2012-10-01
2012-10-01,,4,211,Uvic,246,Scintillation 4 Uvic,4,Scintillation,,211 4 2012-10-01
2012-10-01,,4,212,Uvic,247,Scintillation 4 Uvic,4,Scintillation,,212 4 2012-10-01
2012-10-01,,4,213,Uvic,248,Scintillation 4 Uvic,4,Scintillation,,213 4 2012-10-01
2012-10-01,,4,214,Uvic,249,Scintillation 4 Uvic,4,Scintillation,,214 4 2012-10-01
2012-10-01,,4,215,Uvic,250,Scintillation 4 Uvic,4,Scintillation,,215 4 2012-10-01
2012-10-01,,4,216,Uvic,251,Scintillation 4 Uvic,4,Scintillation,,216 4 2012-10-01
2012-10-01,,4,217,Uvic,252,Scintillation 4 Uvic,4,Scintillation,,217 4 2012-10-01
2012-10-01,,4,218,Uvic,253,Scintillation 4 Uvic,4,Scintillation,,218 4 2012-10-01
