d13C,d15N,DateProcessed,fk_PackedID,fk_SampleID,fk_TrayID,Lab,pk_ResultID,ref_sampleID,ref_Tray,Weight_mg
-21.76,11.87,,125,,,UC Davis,141,ACANIG185_NA,KT_KI_04,1.1
-16.68,13.37,,850,,,UC Davis,142,PARARC095_NA,KT_KI_04,1.1
-16.63,13.04,,853,,,UC Davis,143,PARARC097_NA,KT_KI_04,1.1
-16.18,13.39,,892,,,UC Davis,144,PARARC133_NA,KT_KI_04,1.1
-15.97,13.17,,894,,,UC Davis,145,PARARC134_NA,KT_KI_04,1
-16.56,13.09,,899,,,UC Davis,146,PARARC137_NA,KT_KI_04,1
-21.83,5.65,,319,,,UC Davis,147,CEPURO005_NA,KT_KI_04,1
-19.09,10.73,,322,,,UC Davis,148,CEPURO006_NA,KT_KI_04,1.1
8.77,26.2,,326,,,UC Davis,149,CEPURO008_NA,KT_KI_04,1
6.19,25.01,,359,,,UC Davis,150,CEPURO037_NA,KT_KI_04,1.1
-20.88,6.41,,175,,,UC Davis,151,CEPARG038_NA,KT_KI_04,1.1
-20.63,6.66,,134,,,UC Davis,152,CEPARG002_NA,KT_KI_04,1.2
-17.35,11.67,,1071,,,UC Davis,153,PSEOLI004_NA,KT_KI_04,1
-17.25,12.86,,1054,,,UC Davis,154,PSEDIS018_NA,KT_KI_04,0.9
-14.22,13.82,,2,,,UC Davis,155,ACANIG000_A,RT_KI_DAVIS_01,1.1
-16.4,14.67,,90,,,UC Davis,156,ACANIG151_A,RT_KI_DAVIS_01,1
-16.44,14.19,,91,,,UC Davis,157,ACANIG152_A,RT_KI_DAVIS_01,1.1
-16.26,13.81,,92,,,UC Davis,158,ACANIG153_A,RT_KI_DAVIS_01,1.1
-17.09,12.93,,93,,,UC Davis,159,ACANIG154_A,RT_KI_DAVIS_01,1
-17.88,11.76,,61,,,UC Davis,160,ACANIG127_A,RT_KI_DAVIS_01,1
-15.98,11.74,,62,,,UC Davis,161,ACANIG128_A,RT_KI_DAVIS_01,1.1
-15.68,11.68,,64,,,UC Davis,162,ACANIG129_A,RT_KI_DAVIS_01,1
-17.09,12.57,,72,,,UC Davis,163,ACANIG136_A,RT_KI_DAVIS_01,1
-15.14,11.73,,79,,,UC Davis,164,ACANIG142_A,RT_KI_DAVIS_01,1
-15.2,13.87,,131,,,UC Davis,165,CEPARG001_A,RT_KI_DAVIS_01,0.9
-14.75,14.36,,136,,,UC Davis,166,CEPARG003_A,RT_KI_DAVIS_01,1
-15.27,13.82,,138,,,UC Davis,167,CEPARG004_A,RT_KI_DAVIS_01,1.1
-13.65,14.71,,139,,,UC Davis,168,CEPARG005_A,RT_KI_DAVIS_01,1.1
-15.71,13.64,,140,,,UC Davis,169,CEPARG006_A,RT_KI_DAVIS_01,0.9
-15.25,13.86,,301,,,UC Davis,170,CEPARG157_A,RT_KI_DAVIS_01,1
-14.97,14.28,,305,,,UC Davis,171,CEPARG160_A,RT_KI_DAVIS_01,1
-14.77,14.69,,306,,,UC Davis,172,CEPARG161_A,RT_KI_DAVIS_01,1.1
-15.7,14.23,,307,,,UC Davis,173,CEPARG162_A,RT_KI_DAVIS_01,1.1
-15.15,14.54,,308,,,UC Davis,174,CEPARG163_A,RT_KI_DAVIS_01,1
-16.93,14,,41,,,UC Davis,175,ACANIG107_A,RT_KI_DAVIS_01,1
-17.21,14.33,,42,,,UC Davis,176,ACANIG108_A,RT_KI_DAVIS_01,1
-16.16,11.81,,123,,,UC Davis,177,ACANIG184_A,RT_KI_DAVIS_01,1.1
-21.29,11.74,,124,,,UC Davis,178,ACANIG185_A,RT_KI_DAVIS_01,1
-16.88,13.14,,317,,,UC Davis,179,CEPURO005_A,RT_KI_DAVIS_01,0.9
-16.54,12.88,,320,,,UC Davis,180,CEPURO006_A,RT_KI_DAVIS_01,0.9
-16.42,13.27,,324,,,UC Davis,181,CEPURO008_A,RT_KI_DAVIS_01,1.1
-16.46,13.38,,327,,,UC Davis,182,CEPURO009_A,RT_KI_DAVIS_01,0.9
-16.46,13.21,,387,,,UC Davis,183,CEPURO061_A,RT_KI_DAVIS_01,1.1
-16.29,13.68,,363,,,UC Davis,184,CEPURO040_A,RT_KI_DAVIS_01,1
-16.73,13.57,,361,,,UC Davis,185,CEPURO039_A,RT_KI_DAVIS_01,1.1
-16.28,13.44,,357,,,UC Davis,186,CEPURO037_A,RT_KI_DAVIS_01,1
-16.25,13.01,,345,,,UC Davis,187,CEPURO026_A,RT_KI_DAVIS_01,1
-16.42,12.92,,365,,,UC Davis,188,CEPURO041_A,RT_KI_DAVIS_01,1.1
-14.3,14.09,,385,,,UC Davis,189,CEPURO060_A,RT_KI_DAVIS_01,1.1
-14.64,14.52,,389,,,UC Davis,190,CEPURO062_A,RT_KI_DAVIS_01,0.9
-16.94,12.88,,842,,,UC Davis,191,PARARC090_A,RT_KI_DAVIS_01,1.1
-16.6,13.32,,843,,,UC Davis,192,PARARC091_A,RT_KI_DAVIS_01,1
-16.48,13.24,,844,,,UC Davis,193,PARARC092_A,RT_KI_DAVIS_01,1.1
-16.66,13.18,,845,,,UC Davis,194,PARARC093_A,RT_KI_DAVIS_01,1
-16.69,13.56,,846,,,UC Davis,195,PARARC094_A,RT_KI_DAVIS_01,0.9
-16.66,13.72,,849,,,UC Davis,196,PARARC095_A,RT_KI_DAVIS_01,0.9
